"Biomi %Alta","Biomi %Bassa","Fazioni","Grado Sfida","Link 5et","Nome","Tag","Tipo","Descrizione"
"Inferno","","","","","","","",""
"","","","","","","Rank 02","",""
"","","","","","","Sociale","",""
"","","","","","","Servitore","",""
"Male","","Diavoli","2.0","https://5e.tools/bestiary.html#spined%20devil_mm","Diavolo Spinato","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 03","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","3.0","https://5e.tools/bestiary.html#bearded%20devil_mm","Diavolo Barbuto","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 04","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","5.0","https://5e.tools/bestiary.html#barbed%20devil_mm","Diavolo Uncinato","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 05","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","8.0","https://5e.tools/bestiary.html#chain%20devil_mm","Diavolo delle Catene","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 06","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","9.0","https://5e.tools/bestiary.html#bone%20devil_mm","Diavolo d'Ossa","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 07","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","11.0","https://5e.tools/bestiary.html#horned%20devil_mm","Diavolo Cornuto","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 08","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","12.0","https://5e.tools/bestiary.html#erinyes_mm","Erinni","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 09","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","14.0","https://5e.tools/bestiary.html#ice%20devil_mm","Diavolo del ghiaccio ","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 10","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","20.0","https://5e.tools/bestiary.html#pit%20fiend_mm","Diavolo della Fossa","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 11","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"Male","","Diavoli","18.0","","Arciduca","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 12","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"Male","","Diavoli","20.0","","Duca","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 13","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"Male","","Diavoli","0.5","https://5e.tools/bestiary.html#nupperibo_mtf","Nupperibo","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Servitore","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","4.0","https://5e.tools/bestiary.html#merregon_mtf","Merregon","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","6.0","https://5e.tools/bestiary.html#white%20abishai_mtf","White Abishai","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","7.0","https://5e.tools/bestiary.html#armanite_mtf","Armanite","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","7.0","https://5e.tools/bestiary.html#black%20abishai_mtf","Black Abishai","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","10.0","https://5e.tools/bestiary.html#orthon_mtf","Orthon","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","13.0","https://5e.tools/bestiary.html#narzugon_mtf","Narzugon","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","15.0","https://5e.tools/bestiary.html#green%20abishai_mtf","Green Abishai","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","16.0","https://5e.tools/bestiary.html#hellfire%20engine_mtf","Hellfire Engine","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","16.0","https://5e.tools/bestiary.html#titivilus_mtf","Titivilus","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","17.0","https://5e.tools/bestiary.html#blue%20abishai_mtf","Blue Abishai","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","19.0","https://5e.tools/bestiary.html#red%20abishai_mtf","Red Abishai","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Male","","Diavoli","21.0","https://5e.tools/bestiary.html#hutijin_mtf","Hutijin","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 13","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"Male","","Diavoli","21.0","https://5e.tools/bestiary.html#moloch_mtf","Moloch","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 13","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"Male","","Diavoli","22.0","https://5e.tools/bestiary.html#geryon_mtf","Geryon","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 13","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"Male","","Diavoli","23.0","","Zuggtmoy","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 13","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"Male","","Diavoli","24.0","https://5e.tools/bestiary.html#zariel_mtf","Zariel","Diavolo","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Rank 13","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"Male","","Demoni","7.0","https://5e.tools/bestiary.html#draegloth_vgm","Draegloth","Demone","Immondo",""
"Abisso","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","Drow","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Drow","",""
"Male","","Demoni","1.0","https://5e.tools/bestiary.html#maw%20demon_vgm","Maw Demon","Demone","Immondo","<p>“Una volta ho estratto un'intera bottiglia di ottimo liquore alla fragola dal ventre di un demone fauci. Non ho idea di dove possa aver divorato una scoperta del genere, ma non mi lamento. "" — Tascia</p><p>I demoni fauci condividono la fame incessante di carneficina e carne mortale del loro padrone, Yeenoghu, che appare in questo libro. Dopo che un demone fauce riposa per 8 ore, tutto ciò che viene divorato da esso viene trasportato direttamente nella gola del Signore della Selvaggia.</p><p>I demoni fauci appaiono tra le bande di guerra di Gnoll che adorano Yeenoghu, di solito evocati come parte delle offerte rituali di umanoidi appena uccisi che gli vengono fatte. Gli Gnoll non comandano i demoni, che semplicemente accompagnano la banda di guerra e attaccano qualunque creatura su cui cadano gli Gnoll.</p><p>Poiché i demoni fauci sono indiscriminati nella loro fame, i loro stomaci contengono ogni sorta di stranezze oltre ai resti della loro recente preda. Puoi scegliere uno o più oggetti appropriati per la tua campagna da contenere per un demone fauci, o tirare sulla tabella Contenuto Stomaco del Demone Fauci.</p>"
"Abisso","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","Gnoll","","","","","",""
"","","","","","","Gnoll","",""
"","","","","","","Sociale","",""
"Deserto","","Demoni","4.0","https://5e.tools/bestiary.html#gnoll%20fang%20of%20yeenoghu_mm","Gnoll zanna di Yeenoghu","Demone","Immondo","<p>Gli Gnoll celebrano le loro vittorie eseguendo rituali demoniaci e facendo offerte di sangue a Yeenoghu.</p><p>A volte il signore dei demoni premia i suoi adoratori permettendo a uno di loro di essere posseduto da uno spirito demoniaco. Contrassegnato come il preferito di Yeenoghu, il fortunato destinatario diventa una zanna di Yeenoghu, il prescelto del Signore degli Gnoll. Più o meno allo stesso modo Yeenoghu creò i primi Gnoll, una iena che banchetta con il nemico ucciso da una zanna subisce un'orribile trasformazione, diventando uno Gnoll adulto. A seconda del numero di iene in una regione, una zanna di Yeenoghu può portare a un sorprendente aumento della popolazione di Gnoll. Trovare e uccidere la zanna è l'unico modo per tenere sotto controllo quella popolazione.</p>"
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Male","","","","","","","",""
"Abisso","","","","","","","",""
"","","Gnoll","","","","","",""
"","","","","","","Gnoll","",""
"","","","","","","Sociale","",""
"Artico","","Demoni","8.0","https://5e.tools/bestiary.html#shoosuva_vgm","Shoosuva","Demone","Immondo","<p>Uno Shoosuva è un demone iena donato da Yeenoghu a uno Gnoll particolarmente potente (tipicamente come una zanna di Yeenoghu).&nbsp;Uno Shoosuva si manifesta poco dopo che una banda di guerra ottiene una grande vittoria, emergendo da una nuvola di fumo fluttuante e fetida mentre arriva dall'Abisso.&nbsp;In battaglia, il demone avvolge le sue mascelle sbavanti attorno a una vittima mentre si scaglia con il pungiglione velenoso sulla sua coda per abbatterne un'altra.&nbsp;Una creatura immobilizzata dal veleno diventa facile preda per gli Gnoll nelle vicinanze.</p><p>Ogni Shoosuva è legato a un particolare Gnoll e combatte al fianco del suo padrone.&nbsp;Uno Gnoll che è stato dotato di uno Shoosuva è secondo solo a un Flind all'interno di una banda di guerra.</p>"
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Male","","","","","","","",""
"Abisso","","","","","","","",""
"","","Gnoll","","","","","",""
"","","","","","","Gnoll","",""
"","","","","","","Sociale","",""
"Foresta","","Yugoloth","4.0","https://5e.tools/bestiary.html#barghest_vgm","Barghest","Yugoloth","Immondo",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Male","","","","","","","",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","Goblin","","","","","",""
"","","","","","","Goblin","",""
"","","","","","","Sociale","",""
"Male","","Demoni","4.0","https://5e.tools/bestiary.html#incubus_mm","Incubo","Immondo","Immondo",""
"","","Diavoli","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Mutaforma","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Male","","Demoni","4.0","https://5e.tools/bestiary.html#succubus_mm","Succube","Immondo","Immondo",""
"","","Diavoli","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Mutaforma","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Male","","Demoni","5.0","https://5e.tools/bestiary.html#cambion_mm","Cambion","Immondo","Immondo",""
"","","Diavoli","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Palude","","","0.25","https://5e.tools/bestiary.html#stench%20kow_mpmm","Stench Kow","Immondo","Immondo",""
"Male","","","","","","","",""
"Inferno","","","","","","","",""
"Abisso","","","","","","","",""
"Distese Grige","","","","","","","",""
"Gehenna","","","","","","","",""
"Pandemonium","","","","","","","",""
"","","","","","","Non Violento","",""
"","","","","","","Bestiame","",""
"Deserto","","","1.0","https://5e.tools/bestiary.html#vargouille_vgm","Vargouille","Immondo","Immondo",""
"Palude","","","","","","","",""
"Male","","","","","","","",""
"Carceri","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Deserto","","Giganti","3.0","https://5e.tools/bestiary.html#hell%20hound_mm","Segugio Infernale","Cane","Immondo","<p>Demoni mostruosi sputafuoco che assumono la forma di potenti cani, i segugi infernali si trovano sui campi di battaglia di Acheronte e in tutti i Piani Inferiori. Sul Piano Materiale, i segugi infernali sono più comunemente visti al servizio di diavoli, giganti del fuoco e altre creature malvagie che li usano come animali da guardia e compagni.</p><p>Fame bruciante.&nbsp;</p><p>I segugi infernali cacciano in branchi, nutrendosi di qualsiasi creatura che appaia commestibile.&nbsp;Evitano nemici potenzialmente pericolosi a favore di prendere di mira la preda più debole con il loro morso selvaggio e il loro soffio infuocato, dimostrando una determinazione implacabile mentre inseguono quella preda fino alla fine.</p><p>Quando i segugi infernali si nutrono, la carne che consumano alimenta i fuochi infernali che ardono dentro di loro.&nbsp;Quando un segugio infernale muore, quel fuoco consuma i resti della creatura in un'ondata di fumo e braci ardenti, lasciando dietro di sé solo ciuffi bruciati di pelo nero.</p><p>Il male fino al midollo.&nbsp;</p><p>I segugi infernali sono più intelligenti delle bestie mondane e la loro natura legale li rende bravi a eseguire gli ordini.&nbsp;Tuttavia, la disposizione malvagia di un segugio infernale significa che la creatura non può essere addestrata per essere nient'altro che un assassino spietato.&nbsp;Se a un segugio infernale non è permesso assecondare la sua fame malefica, abbandona rapidamente o si rivolta contro il suo padrone.</p>"
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Male","","","","","","","",""
"Fuoco","","","","","","","",""
"Vulcano","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Immondo","",""
"","","","","","","Fuoco","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Palude","","","3.0","https://5e.tools/bestiary.html#nightmare_mm","Cavallo degli incubi","Cavallo","Immondo",""
"Male","","","","","","","",""
"","","","","","","Immondo","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Male","","","8.0","https://5e.tools/bestiary.html#howler_mtf","Howler","Immondo","Immondo",""
"Pandemonium","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Male","","Megere","5.0","https://5e.tools/bestiary.html#night%20hag_mm","Megera Notturna","Sociale","Immondo",""
"","","","","","","Megera","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Foresta","","Demoni","5.0","https://5e.tools/bestiary.html#tanarukk_vgm","Tanarukk","Demone","Immondo","<p>Quando la corruzione demoniaca contamina la leadership di una tribù, gli orchi potrebbero ricorrere alla magia abissale per creare un Tanarukk.</p><p>Il signore dei demoni Baphomet condivide volentieri il segreto della creazione di Tanarukk con coloro che lo implorano per il potere.&nbsp;Il processo corrompe un orco nascituro della tribù, trasformandolo alla nascita in una creatura molto più selvaggia di un orco.</p><p>Sebbene i Tanarukk siano combattenti temibili, sono una minaccia per i loro alleati fuori dal campo di battaglia.&nbsp;All'interno della tana della tribù, un Tanarukk è distruttivo e instabile, ed è meglio tenerlo imprigionato.&nbsp;Prima o poi, un Tanarukk libero si scatena nella tribù, tentando di impossessarsene con la forza.&nbsp;La maggior parte di questi colpi di stato fallisce, ma a caro prezzo per la tribù.&nbsp;Se un Tanarukk prende il comando di una tribù, la guerra sconsiderata è il corso che inevitabilmente sceglie.</p><p>Se un Tanarukk riesce a riprodursi, il suo sangue contamina numerose generazioni successive, quindi le sue discendenti femmine producono Tanarukk casualmente.&nbsp;Piuttosto che rischiare di allevare un Tanarukk naturale, la maggior parte delle tribù uccide tali abomini.</p>"
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Male","","","","","","","",""
"Abisso","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","Orchi","","","","","",""
"","","","","","","Orco","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","1.0","https://5e.tools/bestiary.html#merrenoloth_mtf","Merrenoloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","5.0","https://5e.tools/bestiary.html#mezzoloth_mm","Mezzoloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","7.0","https://5e.tools/bestiary.html#dhergoloth_mtf","Dhergoloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","8.0","https://5e.tools/bestiary.html#canoloth_mtf","Canoloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","9.0","https://5e.tools/bestiary.html#nycaloth_mm","Nycaloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","9.0","https://5e.tools/bestiary.html#hydroloth_mtf","Hydroloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","11.0","https://5e.tools/bestiary.html#yagnoloth_mtf","Yagnoloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","12.0","https://5e.tools/bestiary.html#arcanaloth_mm","Arcanaloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","12.0","https://5e.tools/bestiary.html#oinoloth_mtf","Oinoloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Yugoloth","13.0","https://5e.tools/bestiary.html#ultroloth_mm","Ultroloth","Yugoloth","Immondo",""
"Carceri","","","","","","","",""
"Gehenna","","","","","","","",""
"","","","","","","Sociale","",""
"Male","","Diavoli","13.0","https://5e.tools/bestiary.html#rakshasa_mm","Rakshasa","Sociale","Immondo",""
"Inferno","","","","","","","",""
"","","","","","","Mutaforma","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Underdark","","","0.25","https://5e.tools/bestiary.html#oblex%20spawn_mpmm","Oblex Spawn","Mind Flayer","Melma",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Melma","",""
"","","","","","","Oblex","",""
"","","","","","","Sconosciuto","",""
"Underdark","","","5.0","https://5e.tools/bestiary.html#adult%20oblex_mtf","Oblex Adult","Mind Flayer","Melma",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Melma","",""
"","","","","","","Oblex","",""
"","","","","","","Sconosciuto","",""
"Underdark","","","10.0","https://5e.tools/bestiary.html#elder%20oblex_mtf","Oblex Elder","Mind Flayer","Melma",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Melma","",""
"","","","","","","Oblex","",""
"","","","","","","Sconosciuto","",""
"Underdark","","","0.5","https://5e.tools/bestiary.html#gray%20ooze_mm","Melma Grigia","Endemico","Melma",""
"Dungeon","","","","","","","",""
"","","","","","","Melma","",""
"","","","","","","Sconosciuto","",""
"Underdark","","","2.0","https://5e.tools/bestiary.html#ochre%20jelly_mm","Ameba Paglierina","Endemico","Melma",""
"Dungeon","","","","","","","",""
"","","","","","","Melma","",""
"","","","","","","Sconosciuto","",""
"Underdark","","","2.0","https://5e.tools/bestiary.html#gelatinous%20cube_mm","Cubo Gelatinoso","Endemico","Melma",""
"Dungeon","","","","","","","",""
"","","","","","","Melma","",""
"","","","","","","Sconosciuto","",""
"Underdark","","","3.0","https://5e.tools/bestiary.html#slithering%20tracker_vgm","Slithering Tracker","Endemico","Melma",""
"Dungeon","","","","","","","",""
"","","","","","","Melma","",""
"","","","","","","Sconosciuto","",""
"Underdark","","","4.0","https://5e.tools/bestiary.html#black%20pudding_mm","Protoplasma Nero","Endemico","Melma",""
"Dungeon","","","","","","","",""
"","","","","","","Melma","",""
"","","","","","","Sconosciuto","",""
"Prateria","Artico","","1.0","https://5e.tools/bestiary.html#hippogriff_mm","Ippogrifo","Non Violento","Mostruosità",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","Deserto","","","","","","",""
"","Foresta","","","","","","",""
"","Coste","","","","","","",""
"","A Dolce","","","","","","",""
"","","","","","","Bestia Magica","",""
"Collina","Foresta","","2.0","https://5e.tools/bestiary.html#peryton_mm","Peryton","Endemico","Mostruosità",""
"Montagna","","","","","","","",""
"","Prateria","","","","","","",""
"","","","","","","Bestia Magica","",""
"Prateria","Artico","","2.0","https://5e.tools/bestiary.html#griffon_mm","Grifone","Non Violento","Mostruosità",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Savana","","","","","","","",""
"","Deserto","","","","","","",""
"","Foresta","","","","","","",""
"","Coste","","","","","","",""
"","A Dolce","","","","","","",""
"","","","","","","Bestia Magica","",""
"Underdark","","","3.0","https://5e.tools/bestiary.html#minotaur_mm","Minotauro","Boss","Mostruosità",""
"Dungeon","","","","","","","",""
"","","","","","","Bestia Magica","",""
"","","","","","","Solitario","",""
"Collina","Artico","Giganti","3.0","https://5e.tools/bestiary.html#manticore_mm","Manticora","Endemico","Mostruosità","<p>Le manticore servono maestri malvagi che li trattano bene e forniscono prede regolari. Una manticora potrebbe fornire supporto aereo a un'orda di orchi oa un esercito di hobgoblin. Un altro potrebbe servire come compagno di caccia per un capo gigante delle colline o custodire l'ingresso della tana di una lamia.I più grandi rivali territoriali delle manticore includono chimere, grifoni, peryton e viverne. Le manticore che cacciano in branco hanno spesso il vantaggio di un numero maggiore. Oltre a queste creature, le manticore temono i draghi e li evitano</p>"
"Montagna","","","","","","","",""
"","Deserto","","","","","","",""
"","Foresta","","","","","","",""
"","Prateria","","","","","","",""
"","Coste","","","","","","",""
"","A Dolce","","","","","","",""
"","","Hobgoblin","","","","","",""
"","","Orchi","","","","","",""
"","","","","","","Bestia Magica","",""
"Palude","","","5.0","https://5e.tools/bestiary.html#catoblepas_vgm","Catoblepa","Endemico","Mostruosità",""
"","","","","","","Bestia Magica","",""
"","","","","","","Interessante","",""
"Prateria","Foresta","","6.0","https://5e.tools/bestiary.html#chimera_mm","Chimera","Endemico","Mostruosità",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Bestia Magica","",""
"","","","","","","Interessante","",""
"Deserto","Artico","","11.0","https://5e.tools/bestiary.html#roc_mm","Roc","Endemico","Mostruosità",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Coste","","","","","","","",""
"A Dolce","","","","","","","",""
"","","","","","","Bestia Magica","",""
"","","","","","","Interessante","",""
"Palude","","Bullywug","10.0","https://5e.tools/bestiary.html#froghemoth_vgm","Froghemoth","Bullywug","Mostruosità",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Underdark","","Drow","0.5","https://5e.tools/bestiary.html#chitine_vgm","Chitine","Ragno","Mostruosità",""
"Dungeon","","","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Servitore","",""
"Underdark","","Drow","3.0","https://5e.tools/bestiary.html#choldrith_vgm","Choldrith","Ragno","Mostruosità",""
"Dungeon","","","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Servitore","",""
"Underdark","","Drow","6.0","https://5e.tools/bestiary.html#drider_mm","Drider","Ragno","Mostruosità",""
"Dungeon","","","","","","","",""
"","","","","","","Drow","",""
"","","","","","","Servitore","",""
"Collina","","Firenewt","1.0","https://5e.tools/bestiary.html#giant%20strider_vgm","Gigante Strider","Firenewt","Mostruosità",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Gigante","",""
"","","","","","","Bestiame","",""
"Underdark","","","0.5","https://5e.tools/bestiary.html#piercer_mm","Cuspide Letale","Endemico","Mostruosità",""
"Dungeon","","","","","","","",""
"","","","","","","Fustigatore","",""
"Underdark","","","5.0","https://5e.tools/bestiary.html#roper_mm","Fustigatore","Endemico","Mostruosità",""
"Dungeon","","","","","","","",""
"","","","","","","Fustigatore","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Underdark","","Giganti","11.0","https://5e.tools/bestiary.html#behir_mm","Behir","Gigante","Mostruosità",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Boss","",""
"","","","","","","Servitore","",""
"","","","","","","Interessante","",""
"Foresta","","Goblin","0.5","https://5e.tools/bestiary.html#worg_mm","Worg","Goblin","Mostruosità",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"","","Hobgoblin","","","","","",""
"","","","","","","Endemico","",""
"Foresta","","","2.0","https://5e.tools/bestiary.html#grick_mm","Grick","Endemico","Mostruosità",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Grick","",""
"Foresta","","","7.0","https://5e.tools/bestiary.html#grick%20alpha_mm","Grick Alpha","Endemico","Mostruosità",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Grick","",""
"","","","","","","Interessante","",""
"Deserto","","Kruthik","0.125","https://5e.tools/bestiary.html#young%20kruthik_mpmm","Kruthik Young","Insetto","Mostruosità",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Kruthik","",""
"","","","","","","Sconosciuto","",""
"Deserto","","Kruthik","2.0","https://5e.tools/bestiary.html#adult%20kruthik_mtf","Kruthik, Adult","Insetto","Mostruosità",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Kruthik","",""
"","","","","","","Sconosciuto","",""
"Deserto","","Kruthik","5.0","https://5e.tools/bestiary.html#kruthik%20hive%20lord_mtf","Kruthik Hive Lord","Insetto","Mostruosità",""
"Montagna","","","","","","","",""
"Underdark","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Boss","",""
"","","","","","","Kruthik","",""
"","","","","","","Sconosciuto","",""
"Underdark","","","0.5","https://5e.tools/bestiary.html#darkmantle_mm","Mantoscuro","Manta","Mostruosità",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"Underdark","","","3.0","https://5e.tools/bestiary.html#trapper_vgm","Trapper","Manta","Mostruosità",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"Palude","","Megere","5.0","https://5e.tools/bestiary.html#banderhobb_vgm","Banderhobb","Sociale","Mostruosità",""
"","","","","","","Megera","",""
"","","","","","","Servitore","",""
"","","","","","","Interessante","",""
"Deserto","","Naga","8.0","https://5e.tools/bestiary.html#spirit%20naga_mm","Naga Spirituale","Sociale","Mostruosità",""
"Foresta","","","","","","","",""
"Palude","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Naga","",""
"","","","","","","Sconosciuto","",""
"","","","","","","Interessante","",""
"Deserto","","Naga","10.0","https://5e.tools/bestiary.html#guardian%20naga_mm","Naga Guardiana","Sociale","Mostruosità",""
"Foresta","","","","","","","",""
"Palude","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Non Violento","",""
"","","","","","","Naga","",""
"","","","","","","Interessante","",""
